X1,X2,Y
0.5517074,0.6985821,1
0.446456,0.799424,1
0.5672716,0.6439668,1
0.6123763,0.8611554,1
0.5253568,0.9894575,1
0.4148392,0.5308136,1
0.4840031,0.7298974,1
0.5830196,0.5586319,1
0.4740223,0.9492178,1
0.4627348,0.8750043,1
0.515922,0.395132,1
0.7080585,0.8105202,1
0.5498753,0.5030532,1
0.5482681,0.7367939,1
0.598556,0.7704537,1
0.5286283,0.6422074,1
0.5951982,0.5308358,1
0.4721121,0.3881872,1
0.5677035,0.8665094,1
0.4845147,0.7241784,1
0.4418196,0.6776322,1
0.6087869,0.881287,1
0.4139175,0.5343007,1
0.5147265,0.5717568,1
0.5256712,0.625363,1
0.4651691,0.7747022,1
0.5768871,0.7477721,1
0.4747364,0.5321394,1
0.5121778,0.4730155,1
0.524537,0.9618044,1
0.4911954,0.9221218,1
0.564811,0.5986465,1
0.4910202,0.8853765,1
0.5595496,0.7315855,1
0.5967647,0.8629063,1
0.4940175,0.8806285,1
0.6431107,0.7314761,1
0.4331869,0.8727482,1
0.4681239,0.7156757,1
0.5030259,0.8178724,1
0.5150726,0.750513,1
0.4663963,0.861452,1
0.6301163,0.6584154,1
0.5199765,0.7551951,1
0.4467073,0.656989,1
0.5932178,0.8203064,1
0.4984963,0.6780663,1
0.5834098,1.053635,1
0.5287405,0.4061884,1
0.5127789,0.9566569,1
0.5334718,0.6666897,1
0.4547366,0.6291427,1
0.5044117,0.6280206,1
0.594642,0.6121741,1
0.5466784,0.6627506,1
0.4824018,0.8988653,1
0.44506,0.5649689,1
0.5483756,0.91157,1
0.5713818,0.8168191,1
0.5553783,0.8184783,1
0.5932917,0.6226448,1
0.6199054,0.768752,1
0.6214503,0.8078431,1
0.6225701,1.000976,1
0.6049861,0.9627322,1
0.6179766,0.7198701,1
0.395768,0.5903646,1
0.585301,0.5502602,1
0.4767231,0.8742438,1
0.4060051,0.4433729,1
0.595925,0.5884945,1
0.5095365,0.9015394,1
0.4763185,0.740846,1
0.5400893,0.929318,1
0.4637577,0.7169164,1
0.5256233,0.7771123,1
0.4441721,0.8542984,1
0.5645399,0.6584534,1
0.4975598,0.6515327,1
0.5555813,0.8351662,1
0.4074997,0.5753248,1
0.4736576,0.6885063,1
0.5313009,0.6441186,1
0.5433724,0.7577154,1
0.6002235,0.798621,1
0.5250823,0.5642807,1
0.474485,0.8401386,1
0.5843203,0.7291076,1
0.4750486,0.5354479,1
0.6675351,0.80413,1
0.563004,0.5919864,1
0.6454337,0.726193,1
0.4459623,0.5897728,1
0.3909149,0.4612597,1
0.5964274,0.5719538,1
0.562692,0.7258764,1
0.6289001,0.6311126,1
0.5907891,0.5604664,1
0.5219129,0.9042517,1
0.5828822,0.6956869,1
0.4325594,0.9108936,1
0.5515062,0.6850932,1
0.6053373,0.7795919,1
0.4077912,0.6974714,1
0.5876949,0.6569925,1
0.5061947,0.7403582,1
0.6384601,0.6545022,1
